Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
TXWA,Waco,31.5194,-97.0451,53,1.0000,,
WIMA,Madison,43.0747,-89.3843,52,0.2140,,
IDHV,Hagerman Valley,42.8167,-114.9000,52,2.8889,,
NY2R,Lower Hudson,40.7667,-73.9833,51,0.3091,,
NMLA,Lakes Avalon-Brantley,32.5661,-104.2940,51,1.7895,,
TXDA,Dallas County,32.8258,-96.8312,51,0.3000,,
MSSU,Sumner,33.9667,-90.3667,49,4.2609,,
ORSU,Summer Lake,42.9731,-120.7778,48,1.5738,,
IDNA,Nampa,43.5680,-116.6729,48,0.9979,,
NYBW,Bronx-Westchester Region,40.9117,-73.7825,48,0.2567,,
AZBA,Buenos Aires N.W.R.,31.5667,-111.4500,45,0.7500,,
TXRU,Ruidosa,29.9500,-104.6667,44,4.6316,,
LALC,Lake Charles,30.1500,-93.3000,44,0.5986,,
LALA,Lafayette,30.1901,-92.1042,44,0.3465,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,42,0.5714,,
ORTB,Tillamook Bay,45.5167,-123.8833,41,0.3694,,
WAEL,Ellensburg,47.0060,-120.5895,41,0.5899,,
TXBN,Burnet County,30.7514,-98.2750,41,0.5959,,
ILCO,Crab Orchard N.W.R.,37.7196,-89.0212,41,0.4581,,
BCNN,Nanaimo,49.1668,-123.9333,40,0.5917,,
ARAR,Arkadelphia,34.1333,-93.0500,40,0.3810,,
AZKA,Kayenta,36.6500,-111.0000,38,1.9487,,
SCMC,McClellanville,33.1003,-79.4037,37,0.5873,,
FLJA,Jacksonville,30.4152,-81.4877,37,0.3083,,
HIWO,O'ahu: Waipi'o,21.4618,-158.0128,36,0.5902,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,35,1.0606,,
NJLB,Long Branch,40.2502,-74.0554,35,0.4023,,
OKSP,Salt Plains N.W.R.,36.7850,-98.1789,33,0.8684,,
LAGI,Grand Isle,29.1996,-90.0458,33,0.8250,,
WATC,Tri-Cities,46.2357,-119.1805,32,0.5161,,
ORFG,Forest Grove,45.4851,-123.1269,31,0.8493,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,30,0.4412,,
NYCA,L.I.: Captree,40.7038,-73.2493,30,0.2113,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,30,0.5660,,
COBO,Boulder,40.0256,-105.2725,30,0.1056,,
LABR,Baton Rouge,30.3661,-91.1194,29,0.1942,,
DCDC,Washington,38.8674,-77.0685,29,0.1240,,
AZAV,Avra Valley,32.2501,-111.2500,28,0.3836,,
NYSM,L.I.: Smithtown,40.9133,-73.1386,28,0.3613,,
ORYB,Yaquina Bay,44.5866,-124.0642,28,0.6292,,
AZGR,Gila River,33.3071,-112.6833,27,0.2109,,
NYCS,L.I.: Central Suffolk County,40.8333,-72.7838,26,0.1464,,
ORME,Medford,42.4026,-122.8559,25,0.2110,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,25,1.4706,,
CASV,San Fernando Valley,34.2358,-118.5025,24,0.4248,,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,24,0.4211,,
TXBZ,Brazos Bend,29.3734,-95.6688,24,0.2017,,
TXDR,Del Rio,29.4651,-100.9585,24,0.5926,,
UTSL,Salt Lake City,40.7695,-111.8884,23,0.1843,,
CAON,Orange County (northeastern),33.7145,-117.6776,23,0.2956,,
NYBR,L.I.: Brooklyn,40.6160,-73.9448,23,0.5476,,
WAPB,Padilla Bay,48.4834,-122.5667,22,0.1399,,
WAOL,Olympia,47.0722,-122.8533,22,0.1290,,
NMSC,Silver City,32.7381,-108.2620,22,0.4681,,
COCS,Colorado Springs,38.8022,-104.8167,22,0.1591,,
LATH,Tunica Hills-St. Francisville,30.7500,-91.3833,21,0.2632,,
OH2G,Gypsum,41.4500,-82.8333,21,0.7000,,
AZMY,Martinez Lake-Yuma,32.8884,-114.4623,21,0.2087,,
NMCA,Caballo,32.9530,-107.3122,21,0.4158,,
NJMA,Marmora,39.2647,-74.6472,21,0.3292,,
NMLL,La Luz-Otero County,33.0000,-105.9600,20,0.2564,,
AZ18,Salt-Verde Rivers,33.5500,-111.7333,20,0.0696,,
AZSC,Santa Catalina Mountains,32.3353,-110.7295,20,0.2041,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,20,0.2985,,
FLDC,Dade County,25.8402,-80.1883,20,0.2286,,
OKWA,Washita N.W.R.,35.6495,-99.2797,20,0.5000,,
CAFR,Fall River Mills,41.0616,-121.4899,20,0.3448,,
FLEC,Econlockhatchee,28.7094,-81.1467,19,0.1681,,
NJCM,Cape May,39.0123,-74.8778,19,0.1067,,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,19,0.5938,,
CABA,Bakersfield,35.4311,-118.9173,19,0.3140,,
CACO,Chico,39.7220,-121.8238,19,0.2585,,
SCSR,Savannah River Site,33.2000,-81.6167,18,0.3429,,
WAED,Edmonds,47.8524,-122.2489,18,0.3273,,
LAST,St. Tammany Parish,30.4211,-90.0886,18,0.2011,,
TXPM,Palmetto S.P.,29.5833,-97.5833,17,0.2982,,
BCVE,Vernon,50.2686,-119.2769,17,0.1278,,
UTPR,Provo,40.2526,-111.6688,16,0.1429,,
FLSM,St. Marks,30.1536,-84.2227,16,0.1739,,
LA0E,Venice,29.4333,-89.4667,16,0.5000,,
ILUC,Union County,37.4676,-89.4048,16,0.2424,,
OKNO,Norman,35.2655,-97.3767,15,0.2308,,
BCKE,Kelowna,49.8836,-119.4935,15,0.1485,,
WYCA,Casper,42.7834,-106.4333,15,0.2083,,
NMGR,Gila River,32.9152,-108.5840,15,0.3571,,
WAOH,Oak Harbor,48.2646,-122.6805,15,0.2113,,
WAPT,Port Townsend,48.0500,-122.7333,15,0.2000,,
TNCO,Columbia,35.5990,-87.1613,14,0.4444,,
TXQU,Quitaque,34.4346,-101.0739,14,0.5490,,
TNHI,Hiwassee,35.3655,-84.9200,14,0.1628,,
MIAB,Anchor Bay,42.6273,-82.6647,14,0.1157,,
DECH,Cape Henlopen-Prime Hook,38.8072,-75.1878,14,0.2637,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,13,0.3283,,
MOJO,Joplin,37.0548,-94.4602,13,0.2826,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,13,0.1646,,
DERE,Rehoboth,38.6035,-75.1073,13,0.1413,,
TXHU,Huntsville,30.7156,-95.5520,12,0.2286,,
LASH,Shreveport,32.5371,-93.8922,12,0.2094,,
NMLC,Las Cruces,32.3000,-106.7167,12,0.1791,,
OKTU,Tulsa,36.3221,-95.9022,12,0.3000,,
OKOC,Oklahoma City,35.5368,-97.5834,12,0.1333,,
TXTR,Trinidad,32.1500,-96.1000,12,1.4118,,
CAOR,Oroville,39.5178,-121.5499,11,0.2444,,
CABB,Big Bear Lake,34.2833,-116.9000,11,0.3235,,
ONHA,Hamilton,43.2679,-79.8852,11,0.0659,,
AZAH,Atascosa Highlands,31.4701,-111.1728,11,0.1111,,
TXLR,Lake Ray Hubbard,32.9296,-96.5363,10,0.1493,,
CAPP,Palos Verdes Peninsula,33.7723,-118.3279,10,0.0667,,
AZML,Mormon Lake,35.0000,-111.4500,10,0.5464,,
OKST,Stillwater,36.1452,-97.1765,10,0.1887,,
KYLE,Lexington,37.9227,-84.4719,10,0.1220,,
NMLO,Loving,32.2910,-104.0667,10,0.6250,,
NCPI,Portsmouth Island,35.0000,-76.1167,10,0.3704,,
WAEA,East Lake Washington,47.5899,-121.9995,10,0.2083,,
OKRC,Rogers County,36.3722,-95.6326,9,0.2069,,
TXLK,Lake Tawakoni,32.7667,-95.9167,9,0.1228,,
FLMR,Myakka River S.P.,27.2330,-82.2360,9,0.0888,,
NJOC,Oceanville,39.4422,-74.4605,9,0.1250,,
CODE,Denver,39.5870,-105.1430,8,0.0347,,
TXGC,Gibbons Creek,30.5833,-96.0000,8,0.1225,,
LARB,Reserve-Bonnet Carre Spillway,30.0867,-90.4711,8,0.0879,,
CALL,Lost Lake-Fresno,36.9500,-119.7000,8,0.1231,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,8,0.0804,,
MSJC,Jackson County,30.4366,-88.7119,8,0.1168,,
MSSH,Southern Hancock County,30.2906,-89.5034,8,0.0932,,
ARWR,White River N.W.R.,34.3146,-91.1210,8,0.4444,,
SCCA,Charleston,32.9333,-79.7000,8,0.1103,,
DEWI,Wilmington,39.7450,-75.6399,8,0.0408,,
BCMA,Greater Masset,54.0464,-132.1903,7,0.1443,,
ORFL,Florence,44.0334,-124.0667,7,0.0933,,
UTKA,Kanab,37.0334,-112.5167,7,0.1414,,
FLSC,Sanibel-Captiva,26.4594,-82.1567,7,0.0447,,
KYLO,Louisville,38.2929,-85.6284,6,0.0472,,
KSLC,Linn County,38.2833,-94.7500,6,0.3750,,
MXMC,"Mexico City, Distrito Federal, Mexico",19.2333,-99.1833,6,0.2400,,
OKAC,Arcadia,35.5667,-97.2167,6,0.0815,,
BCSA,Salmon Arm,50.7000,-119.2333,6,0.1622,,
MOKC,Kansas City,38.9488,-94.4049,6,0.0656,,
TX0T,Buffalo Lake N.W.R.,34.8667,-102.1333,6,0.7500,,
CAHO,Hollister,36.8000,-121.3667,6,0.0851,,
TXAB,Abilene,32.3501,-99.7502,6,0.1395,,
CAMN,Manchester,39.0347,-123.6897,6,0.1071,,
FLLA,Lakeland,28.0261,-81.8507,5,0.0402,,
COPE,Penrose,38.3907,-105.1440,5,0.1429,,
NC0D,New Bern,35.0833,-77.0667,5,0.1099,,
TXCA,Caddo National Grasslands,33.7405,-96.0024,5,0.0667,,
IDAF,American Falls Reservoir,42.9833,-112.7000,5,0.1429,,
KSOP,Oskaloosa-Perry Lake,39.2014,-95.4032,5,0.0826,,
ILHL,Horseshoe Lake,37.2089,-89.3311,5,0.0862,,
IDBO,Boise,43.6177,-116.1995,5,0.0794,,
CASO,San Bernardino Valley,34.0852,-117.3010,5,0.0676,,
CASC,Santa Cruz County,37.0162,-122.0499,4,0.0214,,
IASH,Shenandoah,40.7211,-95.4809,4,0.1481,,
TXCS,College Station,30.5930,-96.3175,4,0.0294,,
MXGF,"Gomez Farias, Tamaulipas, Mexico",23.1118,-99.1816,4,0.0408,,
CAMA,Marysville,39.2000,-121.5000,4,0.1569,,
BCPM,Pitt Meadows,49.2839,-122.6729,4,0.0372,,
MSSL,Sardis Lake,34.4700,-89.7222,4,0.0800,,
BCCO,Comox,49.6726,-124.9287,4,0.0417,,
WAKC,Kitsap County,47.6323,-122.6609,4,0.0400,,
MOBO,Big Oak Tree S.P.,36.6667,-89.2667,4,0.4000,,
NESC,Scottsbluff,41.8674,-103.6408,4,0.1754,,
CAAB,Anza-Borrego Desert,33.2841,-116.3986,4,0.0408,,
PALB,Southern Bucks County,40.1765,-74.8971,4,0.0345,,
TNCH,Chattanooga,35.1040,-85.2292,4,0.0421,,
MNEX,Excelsior,44.8617,-93.5244,4,0.0404,,
IASR,Saylorville Reservoir,41.8038,-93.7562,4,0.0396,,
ORHR,Hood River,45.6167,-121.5667,4,0.0758,,
OKHR,Hulah Reservoir,36.9289,-96.0873,3,0.0357,,
ILCI,Chillicothe,40.8966,-89.4966,3,0.0362,,
BCPI,Pender Islands,48.8140,-123.1973,3,0.0882,,
NCGR,Greensboro,36.1163,-79.8370,3,0.0390,,
OK08,Fort Sill,34.7167,-98.3500,3,0.0779,,
MDLK,Lower Kent County,39.1427,-76.1921,3,0.0319,,
NYMK,L.I.: Montauk,41.0500,-72.0000,3,0.0213,,
VAWI,Williamsburg,37.2792,-76.6987,3,0.0408,,
TXPS,Palestine,31.7624,-95.7664,3,0.0938,,
KSWI,Wichita,37.6912,-97.3496,3,0.0769,,
LAHO,Houma,29.6000,-90.7167,3,0.0476,,
CASF,San Francisco,37.7143,-122.4689,3,0.0260,,
TXBA,Balmorhea,30.9858,-103.7459,3,0.1071,,
CAWS,Western Sonoma County,38.3853,-123.0306,3,0.0135,,
TXHT,Hueco Tanks,31.8117,-106.0412,3,0.0822,,
CTSM,Stratford-Milford,41.1742,-73.1099,3,0.0291,,
ORSL,Silverton,44.9660,-122.7065,3,0.0504,,
ALMO,Montgomery,32.3496,-86.3831,3,0.0667,,
TXMC,Mckinney,33.1585,-96.6154,3,0.0432,,
CAID,Idyllwild,33.7112,-116.7691,3,0.0857,,
COMV,Monte Vista N.W.R.,37.4970,-106.0461,3,0.3000,,
MSVI,Vicksburg,32.3108,-90.9068,2,0.0365,,
MAMV,Martha's Vineyard,41.3571,-70.5207,2,0.0285,,
